package_name,install,on_cran,github_username,description
magrittr,TRUE,TRUE,,Pipe operator
dplyr,TRUE,TRUE,,Data manipulation (filter/mutate/summarise)
tidyr,TRUE,TRUE,,Data tidying (pivot/nest)
stringr,TRUE,TRUE,,String operations
forcats,TRUE,TRUE,,Factor handling
purrr,TRUE,TRUE,,Functional programming (map/reduce)
ggplot2,TRUE,TRUE,,Data visualization
scales,TRUE,TRUE,,Scale functions for ggplot2 axes and labels
RColorBrewer,TRUE,TRUE,,Color palettes for ggplot2
ggalluvial,TRUE,TRUE,,Alluvial / Sankey flow diagrams
lubridate,TRUE,TRUE,,Date and time operations
labelled,TRUE,TRUE,,SPSS/Stata variable label support
haven,TRUE,TRUE,,Import SPSS (.sav) / Stata / SAS files
DBI,TRUE,TRUE,,Database interface abstraction layer
RSQLite,TRUE,TRUE,,SQLite database driver
arrow,TRUE,TRUE,,Parquet and Arrow columnar file format
dbplyr,FALSE,TRUE,,dplyr backend for database connections
fs,TRUE,TRUE,,File system operations (path/dir/file)
janitor,TRUE,TRUE,,Data cleaning utilities and tabyl
checkmate,TRUE,TRUE,,Fast function argument assertions
testit,TRUE,TRUE,,Lightweight testing assertions
broom,TRUE,TRUE,,Tidy model output (tidy/glance/augment)
emmeans,TRUE,TRUE,,Estimated marginal means for models
knitr,TRUE,TRUE,,Dynamic report generation
rmarkdown,TRUE,TRUE,,R Markdown rendering
quarto,TRUE,TRUE,,Quarto document and report support
gt,FALSE,TRUE,,Grammar of tables
gtsummary,FALSE,TRUE,,Publication-ready summary tables via gt
kableExtra,TRUE,TRUE,,Enhanced knitr/kable HTML and LaTeX tables
htmltools,TRUE,TRUE,,HTML generation and manipulation tools
tableone,FALSE,TRUE,,Table 1 descriptive statistics
readxl,FALSE,TRUE,,Read Excel (.xlsx/.xls) files
readr,TRUE,TRUE,,Read rectangular text data files (CSV/TSV)
data.table,FALSE,TRUE,,Fast in-memory data manipulation
config,TRUE,TRUE,,YAML configuration file management
plotly,FALSE,TRUE,,Interactive web graphics via D3.js
httpgd,TRUE,TRUE,,HTTP graphics device for VS Code R extension
survey,FALSE,TRUE,,Complex survey design and weighted analysis
devtools,TRUE,TRUE,,R package development tools
remotes,TRUE,TRUE,,Install packages from GitHub and other remotes
OuhscMunge,TRUE,FALSE,OuhscBbmc,OUHSC data munging and package installation utilities
mice,TRUE,TRUE,,Missing data handling and MCAR pattern analysis (md.pattern)
naniar,TRUE,TRUE,,Missing data visualization and MCAR testing
zoo,TRUE,TRUE,,Time series and date utilities (yearmon/yearqtr)
rlang,TRUE,TRUE,,Metaprogramming and non-standard evaluation (NSE)
VennDiagram,TRUE,TRUE,,Venn and Euler diagram graphics
duckdb,TRUE,TRUE,,In-memory analytical SQL database
tidyverse,TRUE,TRUE,,Meta-package: ggplot2, dplyr, tidyr, readr, purrr, tibble, stringr, forcats
dichromat,FALSE,TRUE,,Color vision deficiency simulation (optional graphing utility)

